year,id,ndvi
2007,6125,4817.640781
2007,8272,2066.824385
2007,9767,3751.141825
2007,9798,2063.790082
2007,10656,3052.92978
2007,11124,4847.046887
2007,12446,3783.447248
2007,12457,3530.838435
2007,12570,2032.472216
2007,13782,4414.580757
2007,14512,3957.658522
2007,14550,4947.413092
2007,14683,5087.560483
2007,15085,2422.531938
2007,15616,2075.597069
2007,16485,3027.602192
2007,16833,2595.591756
2007,18541,1880.847662
2007,18542,2349.35401
2007,18585,2231.325543
2007,18815,2987.201275
2007,18861,2722.187414
2007,19004,2927.914907
2007,19326,3275.872237
2007,20593,2629.014287
2007,22224,2990.434783
2007,23007,4059.079395
2007,23460,2779.224312
2008,162,2434.608327
2008,509,1889.934048
2008,801,2624.340389
2008,843,3836.79014
2008,899,3505.618052
2008,955,1593.606091
2008,1079,1914.535791
2008,1436,3081.504284
2008,1617,4824.820201
2008,2381,3317.02311
2008,2387,3429.45814
2008,2538,2595.463281
2008,2667,3106.335652
2008,3018,5027.571669
2008,3399,3408.4592
2008,3614,3650.415376
2008,3775,4192.915712
2008,3820,2925.123403
2008,4508,1859.764719
2008,4867,3991.326721
2008,4908,3628.878184
2008,5492,5111.801888
2008,6125,4851.532637
2008,8272,2026.360676
2008,9767,3494.183895
2008,9798,1756.744358
2008,10656,3143.489639
2008,11124,5056.072794
2008,12446,3391.510138
2008,12457,3147.958545
2008,12570,1841.151022
2008,13782,4373.784492
2008,14512,3861.297203
2008,14550,4418.49633
2008,14683,4726.637473
2008,15085,2264.095485
2008,15616,1946.612685
2008,16485,2706.921271
2008,16833,2451.552577
2008,18541,1711.385285
2008,18542,1968.152248
2008,18585,1979.482643
2008,18815,2550.770101
2008,18861,2629.011722
2008,19004,2550.319462
2008,19326,2980.741714
2008,20593,2597.40006
2008,22224,3244.780107
2008,23007,3688.110977
2008,23460,2445.80683
2009,162,2501.363209
2009,509,2080.724001
2009,801,2634.824609
2009,843,3981.338536
2009,899,3635.481746
2009,955,1564.74211
2009,1079,1946.295336
2009,1436,3335.585211
2009,1617,5129.522521
2009,2381,3379.163208
2009,2387,3696.164843
2009,2538,2841.454521
2009,2667,3120.457778
2009,3018,5335.652866
2009,3399,3433.772053
2009,3614,3800.705022
2009,3775,4418.274769
2009,3820,2946.964029
2009,4508,1816.445216
2009,4867,4012.949256
2009,4908,3554.618039
2009,5492,5163.113501
2009,6125,4943.595981
2009,8272,2128.778971
2009,9767,4066.534587
2009,9798,1718.629924
2009,10656,3340.373476
2009,11124,5110.0957
2009,12446,3628.022996
2009,12457,3340.883256
2009,12570,1904.244193
2009,13782,4936.441018
2009,14512,4021.703865
2009,14550,4819.898006
2009,14683,5235.361618
2009,15085,2240.928133
2009,15616,1943.68325
2009,16485,2752.997428
2009,16833,2710.967999
2009,18541,1618.505875
2009,18542,1878.577466
2009,18585,2164.215831
2009,18815,2781.948899
2009,18861,2772.175286
2009,19004,2700.794978
2009,19326,3277.956985
2009,20593,2744.578804
2009,22224,3241.376207
2009,23007,4053.226843
2009,23460,2476.131789
2010,162,2745.275332
2010,509,2091.609234
2010,801,2592.690053
2010,843,3905.777039
2010,899,3649.63016
2010,955,1608.792801
2010,1079,1748.581847
2010,1436,3202.582088
2010,1617,4836.514282
2010,2381,3232.332161
2010,2387,3398.541378
2010,2538,2857.632706
2010,2667,3179.248696
2010,3018,5105.154619
2010,3399,3233.803924
2010,3614,3723.242422
2010,3775,4257.370212
2010,3820,3000.537813
2010,4508,1666.322345
2010,4867,3758.908471
2010,4908,3143.182133
2010,5492,4949.842247
2010,6125,4997.207742
2010,8272,2257.939213
2010,9767,3760.29165
2010,9798,1512.733512
2010,10656,3229.082772
2010,11124,4998.891197
2010,12446,3430.088593
2010,12457,3157.665794
2010,12570,1751.327831
2010,13782,4919.602731
2010,14512,3922.07637
2010,14550,4538.320919
2010,14683,4966.579429
2010,15085,2372.973997
2010,15616,1827.31677
2010,16485,2795.924772
2010,16833,2644.206085
2010,18541,1817.906875
2010,18542,2031.289393
2010,18585,2037.596709
2010,18815,2612.938093
2010,18861,2610.253256
2010,19004,2693.429368
2010,19326,3091.48472
2010,20593,2928.006944
2010,22224,3234.697578
2010,23007,3777.968589
2010,23460,2476.268994
2011,162,2108.364959
2011,509,1814.807579
2011,801,2754.605716
2011,843,4020.073106
2011,899,3199.508572
2011,955,1784.421496
2011,1079,1849.435768
2011,1436,3211.222015
2011,1617,4704.738853
2011,2381,3251.607008
2011,2387,3346.641544
2011,2538,2050.442029
2011,2667,2209.453527
2011,3018,5338.225951
2011,3399,3189.727638
2011,3614,3859.503237
2011,3775,4651.667706
2011,3820,2759.161835
2011,4508,1721.050295
2011,4867,3422.641499
2011,4908,2919.877881
2011,5492,5038.975291
2011,6125,4878.600078
2011,8272,1631.067418
2011,9767,3217.394125
2011,9798,1479.885037
2011,10656,3228.373741
2011,11124,4663.909833
2011,12446,3571.530028
2011,12457,3381.319099
2011,12570,1928.711484
2011,13782,4765.014754
2011,14512,3792.48908
2011,14550,4998.332574
2011,14683,5264.21602
2011,15085,1938.196517
2011,15616,2151.518344
2011,16485,2497.565669
2011,16833,2519.739891
2011,18541,1604.529665
2011,18542,1908.076733
2011,18585,1871.572523
2011,18815,2482.384116
2011,18861,2649.891232
2011,19004,2699.178675
2011,19326,2771.600639
2011,20593,2146.160628
2011,22224,3364.13076
2011,23007,4071.160986
2011,23460,2674.016248
2012,162,2377.014738
2012,509,1663.450059
2012,801,2850.730624
2012,843,4171.124206
2012,899,3342.236654
2012,955,1668.450924
2012,1079,1920.53468
2012,1436,3449.70073
2012,1617,4777.051454
2012,2381,3818.835478
2012,2387,3925.268328
2012,2538,2530.389358
2012,2667,2051.889469
2012,3018,5328.872323
2012,3399,3827.063363
2012,3614,3980.68825
2012,3775,4534.475986
2012,3820,2793.635248
2012,4508,1865.67045
2012,4867,3724.037289
2012,4908,3351.43541
2012,5492,3671.227013
2012,6125,3890.911975
2012,8272,1678.016136
2012,9767,3113.110459
2012,9798,1656.370725
2012,10656,3256.756231
2012,11124,4882.974296
2012,12446,3702.036272
2012,12457,3487.94566
2012,12570,1979.671704
2012,13782,4711.097473
2012,14512,4025.48453
2012,14550,5056.587097
2012,14683,4789.486717
2012,15085,2009.295044
2012,15616,2048.939274
2012,16485,2741.96716
2012,16833,2642.786046
2012,18541,2045.341476
2012,18542,2366.299677
2012,18585,2228.827765
2012,18815,2986.062055
2012,18861,2864.493822
2012,19004,2628.189469
2012,19326,2970.694664
2012,20593,2175.952899
2012,22224,2774.653275
2012,23007,3009.613947
2012,23460,2139.670829
2013,162,2633.589167
2013,509,1908.392333
2013,801,2738.808408
2013,843,3870.196685
2013,899,3506.525592
2013,955,1592.579626
2013,1079,1884.894516
2013,1436,3182.2721
2013,1617,4224.767943
2013,2381,3290.305424
2013,2387,3389.200425
2013,2538,2390.545425
2013,2667,1989.662995
2013,3018,5181.176516
2013,3399,3238.756835
2013,3614,3797.535909
2013,3775,4525.538495
2013,3820,2724.379518
2013,4508,1837.820215
